Skill,Count,Percentage
FastAPI,20,4.1%
ETL,19,3.9%
On-Site Deployment,19,3.9%
Tool Calling,18,3.7%
Slack,18,3.7%
Project Management,18,3.7%
GraphQL,17,3.5%
Terraform,17,3.5%
Copilot,17,3.5%
Model Context Protocol,17,3.5%
LinkedIn,17,3.5%
Resilience,17,3.5%
Knowledge Transfer,16,3.3%
BigQuery,16,3.3%
Infrastructure as Code,16,3.3%
ServiceNow,15,3.1%
Product Management,15,3.1%
PostgreSQL,15,3.1%
Rust,15,3.1%
Marketing,14,2.9%
Robotics,14,2.9%
Serverless,13,2.6%
Stakeholder Management,13,2.6%
Systems Thinking,13,2.6%
Coaching,13,2.6%
Helm,13,2.6%
Interpersonal Skills,13,2.6%
DevSecOps,12,2.4%
AutoGen,12,2.4%
Forecasting,12,2.4%
GPU,12,2.4%
KPI,12,2.4%
TensorFlow,12,2.4%
Cohere,12,2.4%
Next.Js,11,2.2%
Deep Learning,11,2.2%
Data Ingestion,11,2.2%
JIRA,11,2.2%
Flask,11,2.2%
Attention to Detail,11,2.2%
Customer Service,10,2.0%
Data Quality,10,2.0%
NoSQL,10,2.0%
Regression,10,2.0%
Github Copilot,10,2.0%
Model Training,10,2.0%
Mistral AI,9,1.8%
Incident Response,9,1.8%
Code Review,9,1.8%
Third-Party API Integration,9,1.8%
MongoDB,9,1.8%
Semantic Kernel,9,1.8%
SDK,9,1.8%
GDPR,9,1.8%
Scikit-Learn,9,1.8%
Django,9,1.8%
GitLab,9,1.8%
Oracle,8,1.6%
Data Analysis,8,1.6%
S3,8,1.6%
Embeddings,8,1.6%
IAM,8,1.6%
Multi-Cloud Architecture,8,1.6%
Cybersecurity,8,1.6%
Integrity,8,1.6%
Developer Relations,8,1.6%
Chatgpt,8,1.6%
Datadog,8,1.6%
Model Evaluation,8,1.6%
Model Deployment,7,1.4%
Workday,7,1.4%
Zapier,7,1.4%
Hugging Face,7,1.4%
Azure Openai,7,1.4%
Technical Feasibility Analysis,7,1.4%
WebRTC,7,1.4%
ELT,7,1.4%
REST API,7,1.4%
Diversity and Inclusion,7,1.4%
Unity,7,1.4%
Requirements Gathering,7,1.4%
n8n,7,1.4%
Sketch,7,1.4%
Pydantic,7,1.4%
LLMOps,7,1.4%
Notion,7,1.4%
Prioritization,7,1.4%
NetSuite,6,1.2%
Account Management,6,1.2%
Scala,6,1.2%
Apache Spark,6,1.2%
Dbt,6,1.2%
Vercel,6,1.2%
Delegation,6,1.2%
IDE,6,1.2%
GPT,6,1.2%
MySQL,6,1.2%
HTTP,6,1.2%
Data Governance,5,1.0%
Cloud Computing,5,1.0%
Mlflow,5,1.0%
Pinecone,5,1.0%
Grpc,5,1.0%
Teamwork,5,1.0%
Big Data,5,1.0%
Ray,5,1.0%
Prometheus,5,1.0%
Pyspark,5,1.0%
Technical Debt Management,5,1.0%
Change Management,5,1.0%
Statistics,5,1.0%
OpenShift,5,1.0%
Real-time Data,5,1.0%
Elasticsearch,5,1.0%
A/B Testing,4,0.8%
AWS Lambda,4,0.8%
Presentation Skills,4,0.8%
Data Lakes,4,0.8%
Angular,4,0.8%
WebSockets,4,0.8%
SharePoint,4,0.8%
Bootstrap,4,0.8%
Delta Lake,4,0.8%
Grafana,4,0.8%
OpenTelemetry,4,0.8%
Confluence,4,0.8%
Patience,4,0.8%
Pandas,4,0.8%
Ruby,4,0.8%
Shopify,4,0.8%
Scrum,4,0.8%
Flux,4,0.8%
TCP,4,0.8%
Model Inference,4,0.8%
HTTP/HTTPS,4,0.8%
Hipaa,4,0.8%
Business Acumen,4,0.8%
Black,4,0.8%
Time Series,4,0.8%
Aws Bedrock,4,0.8%
Miro,4,0.8%
Redis,4,0.8%
Data Orchestration,4,0.8%
Computer Vision,4,0.8%
CMS,3,0.6%
Semantic Search,3,0.6%
Model Monitoring,3,0.6%
SIEM,3,0.6%
Chatbot,3,0.6%
Classification,3,0.6%
Message Queues,3,0.6%
Cloud Security,3,0.6%
Vault,3,0.6%
SOC 2,3,0.6%
Continuous Feedback,3,0.6%
Splunk,3,0.6%
Stress Management,3,0.6%
Microsoft Dynamics,3,0.6%
Model Optimization,3,0.6%
Weaviate,3,0.6%
AWS Athena,3,0.6%
Figma,3,0.6%
Feature Engineering,3,0.6%
Schema Design,3,0.6%
Segment,3,0.6%
RL,3,0.6%
Embedded Systems,3,0.6%
Swift,3,0.6%
Kubeflow,2,0.4%
Data Lake,2,0.4%
Customer Analytics,2,0.4%
Llama,2,0.4%
Swagger,2,0.4%
Product Analytics,2,0.4%
Acceptance Criteria,2,0.4%
Vllm,2,0.4%
Jenkins,2,0.4%
XGBoost,2,0.4%
Marketing Analytics,2,0.4%
Technical Writing,2,0.4%
GPT-4,2,0.4%
Onnx,2,0.4%
Power Automate,2,0.4%
Transformers,2,0.4%
Haystack,2,0.4%
Airtable,2,0.4%
Statistical Modeling,2,0.4%
Clustering,2,0.4%
Data Preprocessing,2,0.4%
Dspy,2,0.4%
Google Vertex Ai,2,0.4%
BPMN,2,0.4%
UI/UX,2,0.4%
Visio,2,0.4%
Lucidchart,2,0.4%
Azure DevOps,2,0.4%
Reinforcement Learning,2,0.4%
Github Actions,2,0.4%
VMware,2,0.4%
Object-Oriented Programming,2,0.4%
Blockchain,2,0.4%
Storytelling,2,0.4%
C,2,0.4%
Causal Inference,1,0.2%
Fresh,1,0.2%
Model Registry,1,0.2%
Data Lakehouse,1,0.2%
LangSmith,1,0.2%
SEO,1,0.2%
Milvus,1,0.2%
Junit,1,0.2%
Hibernate,1,0.2%
Spring Boot,1,0.2%
Cucumber,1,0.2%
Jpa,1,0.2%
Tensorrt,1,0.2%
Growth Mindset,1,0.2%
DigitalOcean,1,0.2%
Quantization,1,0.2%
Critical Thinking,1,0.2%
Argo CD,1,0.2%
Groq,1,0.2%
Neural Networks,1,0.2%
Google Cloud Professional,1,0.2%
Encryption,1,0.2%
Apache Iceberg,1,0.2%
AWS S3,1,0.2%
JVM,1,0.2%
Predictive Analytics,1,0.2%
Model Versioning,1,0.2%
Context Window,1,0.2%
Multimodal AI,1,0.2%
Soap,1,0.2%
UiPath,1,0.2%
LLM Fine-tuning,1,0.2%
Business Development,1,0.2%
Neo4J,1,0.2%
.NET,1,0.2%
Cloud Migration,1,0.2%
Client Relationship Management,1,0.2%
Jax,1,0.2%
Shell Scripting,1,0.2%
React Native,1,0.2%
Market Research,1,0.2%
Idempotency,1,0.2%
AWS Glue,1,0.2%
Executive Presence,1,0.2%
Dagster,1,0.2%
Hadoop,1,0.2%
ClickHouse,1,0.2%
Product Lifecycle Management,1,0.2%
Colab,1,0.2%
AWS VPC,1,0.2%
Apache Airflow,1,0.2%
Schema Evolution,1,0.2%
OCR,1,0.2%
Hono,1,0.2%
Neon,1,0.2%
GCP Cloud Run,1,0.2%
Gradio,1,0.2%
Streamlit,1,0.2%
Facilitation,1,0.2%
Natural Language Processing,1,0.2%
Data Wrangling,1,0.2%
Prisma,1,0.2%
Nestjs,1,0.2%
Stable Diffusion,1,0.2%
LLM Agents,1,0.2%
Vector Database,1,0.2%
Svelte,1,0.2%
Perplexity,1,0.2%
Six Sigma,1,0.2%
Event-Driven Architecture,1,0.2%
GitLab CI,1,0.2%
EC2,1,0.2%
Emotional Intelligence,1,0.2%
MQTT,1,0.2%
OpenStack,1,0.2%
Replicate,1,0.2%
Redux,1,0.2%
Asana,1,0.2%
Asynchronous Communication,1,0.2%
